Direito de Trânsito	3 a 6 Meses
Direito do Consumidor	3 a 10 Meses 
Direito do Consumidor com Habilitação em Docência no Ensino Superior	3 a 10 Meses 
Direito do Trabalho	3 a 10 Meses 
Direito do Trabalho com Habilitação em Docência no Ensino Superior	3 a 10 Meses 
Direito Educacional com Habilitação em Docência no Ensino Superior	3 a 10 Meses 
Direito Processual Civil	3 a 6 Meses
Direito Processual Civil com Habilitação em Docência no Ensino Superior	3 a 10 Meses 
Especialização em Direito do Trabalho e Processual Trabalhista	3 a 6 Meses
Especialização em Direito Educacional	3 a 6 Meses
